frame,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_ankle_angle,right_ankle_angle,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,trunk_flexion,trunk_lateral_flexion,neck_flexion,neck_lateral_flexion,knee_angle_symmetry,hip_angle_symmetry,shoulder_angle_symmetry
0,134.8723092955302,161.44456712718727,106.61536386184504,99.86404054430402,111.95641298708428,111.42165078694792,67.39145503421751,94.48601240150953,147.317685612261,130.90685929320725,85.86894600726454,177.0045823526267,94.15674054075768,92.38064369375891,26.572257831657083,6.751323317541022,27.094557367292012
1,147.73220655785428,162.1236485392366,103.60539867599286,100.12796868673172,112.14167968713465,110.70505145117835,65.50252237136648,94.57359595789362,141.07699833233045,127.26660242930798,85.57953992795795,177.2697495188266,94.31654119067272,93.58356342091088,14.391441981382314,3.4774299892611396,29.071073586527135
2,100.62633563881245,144.5900916730197,82.35801182130507,103.95556362895387,113.75364696415073,113.09522211609497,62.95900346092113,94.94569175594981,126.5455087456807,128.37845537489147,87.82898886823935,176.45370089038602,94.98092745737208,95.02729779404739,43.963756034207265,21.5975518076488,31.986688295028678
3,44.67378733722266,104.41076535853202,64.15977718052936,125.95557078008004,122.95798351675656,105.85423683693219,57.58275272448036,95.67526436995564,119.16109262865086,145.29846713435154,92.46341315151908,178.16474787557374,95.18013480774943,95.73400086125771,59.736978021309355,61.79579359955068,38.092511645475284
4,31.572020354275807,55.532882725120245,65.38062831503224,133.36858036515116,116.23784582319131,105.56942256230322,53.70801360050941,95.84844991389618,111.51747811510006,138.4416412527077,94.20215823056357,177.027869587493,94.61852363189962,96.09002321291219,23.96086237084444,67.98795205011892,42.140436313386765
5,30.56595935949596,42.96387842555445,73.8824642978428,113.06193728314896,112.48238306562612,101.05505289567401,50.148048611958295,96.47790700826859,98.60433152753785,127.51853687039433,96.38436334456752,176.44523243511048,93.36723453766274,94.9975441289358,12.397919066058488,39.17947298530616,46.32985839631029
6,70.62002629280398,82.49848402090221,64.19550198363483,109.24176796558045,112.87258062725022,111.84769694581993,49.44668775777474,96.27364795444056,98.33819304282345,117.64985893540694,97.00728525684588,175.94104142748915,93.72884182110735,94.37394484316395,11.878457728098226,45.04626598194562,46.82696019666582
7,83.95101082330265,112.17432267286587,64.11880550982941,108.96253767427262,113.36541570015486,114.14642877093154,47.890107273232736,95.80143361938717,95.12895681983643,117.315500627661,97.41649836773202,175.70168603092608,93.69647281530818,94.30695091171913,28.223311849563217,44.84373216444321,47.91132634615443
8,98.81354590603893,125.55668005924592,63.01471083930815,105.04805369521729,115.54444187629535,117.92676960174106,50.147505826524615,95.97488000229217,91.61435003830297,152.64827047976513,97.52914007106189,176.14009130725967,93.25539995730969,94.77780588680626,26.743134153206995,42.03334285590914,45.82737417576755
9,123.9004344347939,140.8050153208164,74.16527861961069,97.37764590327818,117.08481003272335,117.76533425271943,53.323880218555395,96.44963073827783,92.87006780042555,134.81671778165136,96.53940498114049,175.7793289338705,94.25035883220824,95.74860883741964,16.904580886022515,23.21236728366749,43.12575051972244
10,117.98582565179714,145.0555653544517,77.68338578420179,94.36469911908213,118.66312025616759,122.87604954143592,54.65724582758602,96.97261639089899,93.58355310555459,130.34036679181634,97.1164670515145,175.26617938999306,93.01722931104423,95.18964574457397,27.069739702654545,16.681313334880343,42.315370563312975
11,126.60734988342195,147.51578736507344,90.17034179068013,92.42017760147489,121.56017862467958,126.35379631206409,56.7478101220749,97.72252911930424,98.55090452387549,127.01955312104802,95.75925250759467,176.27365395694233,92.67624630229686,95.11379244757032,20.90843748165149,2.249835810794764,40.97471899722934
12,127.03514152326758,147.64402914016011,92.857999808167,91.41168325060983,120.97118658665124,124.97560876855934,58.82438013224787,98.97521597146938,97.61841971494869,124.14918786566088,95.35267342968525,176.5913774667175,92.64112006078781,94.82640170596589,20.60888761689253,1.446316557557168,40.150835839221514
13,125.97646119739436,146.20858270120092,93.62362530941382,90.47709037189456,121.11199535409301,128.85689242748487,58.46598249604404,100.65455836674288,97.06706503475203,126.17514215173573,95.1087075683844,176.8531984347281,92.14141501016091,94.18058173121753,20.232121503806567,3.146534937519263,42.188575870698834
14,124.77075721464234,144.1832278344052,93.26916047571541,89.56180510141266,119.5964638664447,127.3411173283077,59.51859876084709,102.17065238856189,97.27615900984763,123.60568360616334,94.92793110460204,177.02268412688855,91.8861896130099,93.86054458573835,19.412470619762843,3.7073553743027503,42.6520536277148
15,128.14010869072104,146.78604375290692,91.35366298944248,86.42561667599142,121.03378504848487,127.68726482962035,60.59562047917646,102.4205787302111,97.53534697625093,124.30063064118941,94.48131754135609,177.37723745103384,91.64780550410207,93.33689163984293,18.645935062185885,4.928046313451063,41.824958251034644
16,134.20626735009762,152.07047248976747,90.93295681688842,84.11845546375064,122.91932426072451,131.59090023304626,60.575425953900634,102.7281344434108,99.95272667420753,135.64994662565806,95.15548280629369,177.17190493188116,91.50260077128827,92.89816612570412,17.86420513966985,6.814501353137786,42.15270848951016
17,131.19450000097854,148.968788828639,91.16531499030305,83.61981075492191,122.79258542537707,131.13727064394493,61.222205912333,102.82583017476577,98.61322487339132,132.2613847967759,94.95468129532135,177.30407376608713,91.65595650059855,93.04928428709313,17.774288827660456,7.545504235381131,41.60362426243277
18,127.43402750260218,146.86070587176718,92.37387598505093,83.34943373498379,121.99504608218284,129.6200346173731,62.38048741258895,103.12534559468445,100.80743559111741,127.50687784979044,94.65536207436374,177.47712838213135,91.66719057522496,93.38372089280007,19.426678369165003,9.024442250067139,40.7448581820955
19,125.93189110709741,144.20860783027376,93.51079779635727,84.08399637232102,121.64407416515928,129.01454523081625,62.53503582177942,103.13330044016483,99.11159571624184,124.29928941442186,94.43051212838255,177.63919510720473,91.52196852774223,93.34552184514052,18.27671672317635,9.426801424036242,40.598264618385414
20,135.04132769393564,149.07972448536228,94.53492279798023,84.44384254260676,124.15428786691608,129.8313228586928,62.393859175232,103.38719108164238,102.13699514671677,130.1609223008091,94.44825746425127,177.89215635361842,91.71401952890243,93.36028979802995,14.038396791426635,10.09108025537347,40.99333190641038
